STAT,182,2017 SPRING,3.52
STAT,201,2025 SUMMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.441,,,,,,2.697
STAT,201,Year,Semester,Prof,GPA,Section,A,B,C,D,F,I,Q,S,U,X
STAT,201,2025,SUMMER,GHOSH P (H),2.697,299,31,13,16,10,6,0,4,0,0,0
STAT,201,2025,SUMMER,LOCKHART M,2.441,199,16,15,13,9,6,8,5,0,0,0
STAT,201,2025,SPRING,HERNANDEZ,0.800,807,0,0,1,2,2,0,3,0,0,0
STAT,201,2025,SPRING,LOCKHART M,2.333,599,20,14,14,11,10,15,16,0,0,0
STAT,201,2025,SPRING,LAMPRINAKOU S,2.237,509,7,21,16,9,6,0,21,0,0,0
STAT,201,2025,SPRING,HERNANDEZ,2.515,508,21,34,31,6,9,2,12,0,0,0
STAT,201,2025,SPRING,HERNANDEZ,2.786,507,20,32,27,4,1,0,15,0,0,0
STAT,201,2025,SPRING,LOCKHART M,2.884,506,25,18,20,5,1,0,10,0,0,0
STAT,201,2025,SPRING,HERNANDEZ,2.288,504,10,25,21,10,7,0,18,0,0,0
STAT,201,2025,SPRING,LOCKHART M,2.542,502,28,32,26,12,9,0,15,0,0,0
STAT,201,2025,SPRING,ROY S,2.698,501,28,37,24,15,2,1,18,0,0,0
STAT,201,2024,FALL,LOCKHART M,2.796,509,19,16,10,7,2,0,6,0,0,0
STAT,201,2024,FALL,LOCKHART M,2.740,508,33,27,24,13,3,0,8,0,0,0
STAT,201,2024,FALL,HERNANDEZ,2.602,507,30,18,29,10,6,0,17,0,0,0
STAT,201,2024,FALL,HERNANDEZ,2.365,506,18,27,29,16,6,0,18,0,0,0
STAT,201,2024,FALL,HERNANDEZ,2.538,505,23,27,20,18,3,0,13,0,0,0
STAT,201,2024,FALL,LOCKHART M,2.821,504,38,30,21,15,2,0,9,0,0,0
STAT,201,2024,FALL,RAY I,2.446,503,22,24,25,15,6,3,15,0,0,0
STAT,201,2024,FALL,PRICE J,2.477,501,28,26,32,11,10,0,13,0,0,0
STAT,201,2024,SUMMER,YI S (H),2.696,299,14,21,14,4,3,0,4,0,0,0
STAT,201,2024,SUMMER,YI S,2.732,199,13,11,13,1,3,0,0,0,0,0
STAT,201,2024,SPRING,LOCKHART M,2.738,599,19,36,20,6,3,2,14,0,0,0
STAT,201,2024,SPRING,MAHAT S,2.591,509,11,27,23,0,5,0,13,0,0,0
STAT,201,2024,SPRING,HERNANDEZ,2.667,508,24,28,35,6,3,0,17,0,0,0
STAT,201,2024,SPRING,HERNANDEZ,2.730,507,26,34,29,9,2,0,12,0,0,0
STAT,201,2024,SPRING,DABNEY A,2.862,506,20,20,23,0,2,0,15,0,0,0
STAT,201,2024,SPRING,HERNANDEZ,2.657,504,25,33,28,8,5,0,14,0,0,0
STAT,201,2024,SPRING,GHOSH P,2.735,502,26,38,27,7,4,1,21,0,0,0
STAT,201,2024,SPRING,GHOSH P,2.784,501,26,30,37,2,2,0,27,0,0,0
STAT,201,2023,FALL,YI S,2.698,509,13,20,13,5,2,0,7,0,0,0
STAT,201,2023,FALL,YI S,2.717,508,24,30,29,6,3,0,16,0,0,0
